"REFERENCE","SITE_ID","LAB","SURVEY","SURVEY_PASC","PROJECT_FWC","STATION_ID_FWC","GEAR_FWC","CONFIGURATION_FWC","YEAR","MONTH","DAY","STA_TIME_PASC","END_TIME_PASC","REGION_PASC","NMFS_STATZONE","LAT_DD","LON_DD","DEPTH","TEMP","SALINITY","DO_MgL","PRECIPITATION_FWC","OPCODE_PASC","OPCODE","SPACE_STRAT","HAB_STRAT","REEF_TYPE","REEF_TYPE_PC","SS_EXPECT","GEOFORM_CODE","GEOFORM_AREA","GEOFORM_PERIMETER","GEOFORM_DISTANCE","CAMERA_FWC","CAMERA_NBR","CAMERA_NAME_PC","CAMERA_SEQ_NBR_PC","READMETHOD_PASC","VIDEO_OPCODE_PASC","RELATIVE_VISIBILITY","PCT_HORIZON_VISIBLE","RELATIVE_CURRENT_1","RELATIVE_CURRENT_2","READ_START_TIME","READ_END_TIME","READ_TIME","HABITAT_ONLY","GENHAB","GENHAB2","STRUCTURAL_COMPLEXITY","BIOTIC_COMPLEXITY","HABITAT_COMPLEXITY","SUBSTRATE_MAX_RELIEF","BIOTA_MAX_RELIEF","COMBO_MAX_RELIEF","ARTI_PER","ROCK_PER","SED_PER","SHELLGRAVEL_PER","SILTSANDCLAY_PER","SUBSTRATE_PCT_TOTAL_PASC","ALGAE_PER","SGRASS_PER","HCORAL_PER","SCORAL_PER","SEAWHIPS_PER","SPONGE_PER","UNKSESS_PER","ATTACHED_EPIFAUNA_PER","RELIEF_PA","ARTI_PA","ROCK_PA","SILTSANDCLAY_PA","SHELLGRAVEL_PA","SED_PA","ALGAE_PA","SGRASS_PA","HCORAL_PA","SCORAL_PA","SEAWHIPS_PA","SPONGE_PA","UNKSESS_PA","ATTACHED_EPIFAUNA_PA","BIOTA_PCT_COMP_PASC","BIOTA_PCT_COVER","A","R","B","C","S","H","M","U","SUBSTRATE_TOTAL","AM","GM","CB","CC","CF","CM","HC","CG","SO","SB","SF","SM","SV","SP","MI","UN","NO","TOTAL_EPIFAUNA_PC","SEDAR_Y_N_PC"
"289305014","1306","PASC","SRFV","SEAMAP_REEF",,,,,1993,5,,1993-05-25 14:41:00,1993-05-25 15:41:00,"W",16,27.9747,-92.3803,56,20.34000015,36.34400177,5.199999809,,"MS",,"WLD",,"N",,,,,,,,,,,"MIN/MAX",,,,,,,,,,,,,,,,,0.7,0,4,,20,40,9,0,0,0,4,0,0,1,5,1,0,1,1,1,,0,0,0,1,0,0,1,1,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"289305015","1342","PASC","SRFV","SEAMAP_REEF",,,,,1993,5,,1993-05-25 16:11:00,1993-05-25 17:14:00,"W",16,27.9755,-92.3753,24,22.76000023,35.9659996,5.199999809,,,,"WLD","NLL","N",,,,,,,,,,,"MIN/MAX",,,,,,,,,,,,,,,,,2.5,0,9,,1,6,11,3,0,0,0,0,4,8,17,1,0,1,1,1,,1,0,0,0,0,1,1,1,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"289305016","1526","PASC","SRFV","SEAMAP_REEF",,,,,1993,5,,1993-05-25 07:09:00,1993-05-25 08:11:00,"W",16,27.9725,-92.3768,24,22.76000023,35.97800064,3.799999952,,,,"WLD","NLL","N",,,,,,,,,,,"MIN/MAX",,,,,,,,,,,,,,,,,1,0,6,,2,35,10,0,0,0,0,1,4,20,25,1,0,1,1,1,,0,0,0,0,1,1,1,1,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"289305017","667","PASC","SRFV","SEAMAP_REEF",,,,,1993,5,,1993-05-25 08:34:00,1993-05-25 09:37:00,"W",16,27.9683,-92.3785,34,22.31999969,36.00999832,3.700000048,,,,"WLD","NML","N",,,,,,,,,,,"MIN/MAX",,,,,,,,,,,,,,,,,2,0,2,,50,28,9,0,0,0,0,0,0,2,2,1,0,1,1,1,,0,0,0,0,0,0,1,1,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"289305018","667","PASC","SRFV","SEAMAP_REEF",,,,,1993,5,,1993-05-25 10:00:00,1993-05-25 11:02:00,"W",16,27.8917,-92.38,74,20.37000084,36.28099823,5,,"OF",,"WLD","NUC","N",,,,,,,,,,,"MIN/MAX",,,,,,,,,,,,,,,,,0.6,0,5,,4,46,11,0,0,0,0,0,0,10,10,1,0,1,1,1,,0,0,0,0,0,0,1,1,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"289305020","380","PASC","SRFV","SEAMAP_REEF",,,,,1993,5,,1993-05-26 12:54:00,1993-05-26 13:59:00,"W",16,27.8295,-92.8925,84.85,19.51636366,,3.372727188,,"DK",,"WLD","NLL","N",,,,,,,,,,,"MIN/MAX",,,,,,,,,,,,,,,,,0.5,0,9,,0,10,10,0,0,0,4,0,1,5,10,1,0,1,1,0,,0,0,0,1,0,1,1,1,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"289305022","1346","PASC","SRFV","SEAMAP_REEF",,,,,1993,5,,1993-05-26 15:52:00,1993-05-26 17:58:00,"W",16,27.8178,-92.9007,40,21.44000053,36.2519989,5.199999809,,"MC",,"WLD","NLL","N",,,,,,,,,,,"MIN/MAX",,,,,,,,,,,,,,,,,1,0,6,,0,40,10,0,0,0,0,1,0,0,1,1,0,1,1,0,,0,0,0,0,1,0,0,1,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"289305023","462","PASC","SRFV","SEAMAP_REEF",,,,,1993,5,,1993-05-26 15:58:00,1993-05-26 17:24:00,"W",16,27.8107,-92.8895,74,16.56999969,36.29800034,3.599999905,,,,"WLD",,"N",,,,,,,,,,,"MIN/MAX",,,,,,,,,,,,,,,,,2,0,6,,3,30,10,0,0,0,0,20,0,0,20,1,0,1,1,1,,0,0,0,0,1,0,0,1,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"289305024","1580","PASC","SRFV","SEAMAP_REEF",,,,,1993,5,,1993-05-26 07:26:00,1993-05-26 08:27:00,"W",16,27.8157,-92.8952,21,22.76000023,36.17499924,1.799999952,,"MS",,"WLD",,"N",,,,,,,,,,,"MIN/MAX",,,,,,,,,,,,,,,,,0.4,0,2,,10,60,9,10,0,0,0,5,0,5,20,1,0,1,1,1,,1,0,0,0,1,0,1,1,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"289305025","2171","PASC","SRFV","SEAMAP_REEF",,,,,1993,5,,1993-05-26 08:45:00,1993-05-26 09:49:00,"W",17,27.8115,-93.0575,47,20.86000061,36.30599976,,,,,"WLD","NLL","N",,,,,,,,,,,"MIN/MAX",,,,,,,,,,,,,,,,,0.2,0,2,,15,72,10,0,0,0,0,0,0,3,3,1,0,1,1,1,,0,0,0,0,0,0,1,1,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"289305028","2576","PASC","SRFV","SEAMAP_REEF",,,,,1993,5,,1993-05-27 13:03:00,1993-05-27 14:09:00,"W",17,27.8017,-93.0653,65,20.45999908,36.2859993,,,"OV",,"WLD","NHL","N",,,,,,,,,,,"MIN/MAX",,,,,,,,,,,,,,,,,0.3,0,10,,0,0,10,0,0,0,0,0,0,4,4,1,0,1,0,0,,0,0,0,0,0,0,1,1,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"289305029","2497","PASC","SRFV","SEAMAP_REEF",,,,,1993,5,,1993-05-27 14:30:00,1993-05-27 15:32:00,"W",17,27.8017,-93.0653,55,20.54999924,36.27899933,,,"MC",,"WLD","NHL","N",,,,,,,,,,,"MIN/MAX",,,,,,,,,,,,,,,,,0.4,0,0,,4,0,10,75,0,0,10,5,0,5,96,1,0,0,0,1,,1,0,0,1,1,0,1,1,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"289305030","2267","PASC","SRFV","SEAMAP_REEF",,,,,1993,5,,1993-05-27 15:54:00,1993-05-27 16:56:00,"W",17,27.8075,-93.071,42,21.06999969,36.3390007,,,"MS",,"WLD","NML","N",,,,,,,,,,,"MIN/MAX",,,,,,,,,,,,,,,,,2,0,6,,4,40,10,0,0,0,0,2,2,9,13,1,0,1,1,1,,0,0,0,0,1,1,1,1,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"289305031","2419","PASC","SRFV","SEAMAP_REEF",,,,,1993,5,,1993-05-27 17:15:00,1993-05-27 18:19:00,"W",17,27.8083,-93.0707,56,20.45000076,36.30799866,,,,,"WLD","NLL","N",,,,,,,,,,,"MIN/MAX",,,,,,,,,,,,,,,,,0.7,0,10,,0,0,10,0,0,0,4,1,0,80,85,1,0,1,0,0,,0,0,0,1,1,0,1,1,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"289305032","2169","PASC","SRFV","SEAMAP_REEF",,,,,1993,5,,1993-05-27 07:11:00,1993-05-27 08:16:00,"W",17,27.81,-93.0583,21,22.79999924,36.10800171,,,,,"WLD","NMM","N",,,,,,,,,,,"MIN/MAX",,,,,,,,,,,,,,,,,0.4,0,2,,5,70,10,0,0,0,0,0,0,20,20,1,0,1,1,1,,0,0,0,0,0,0,1,1,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"289305034","1079","PASC","SRFV","SEAMAP_REEF",,,,,1993,5,,1993-05-28 09:57:00,1993-05-28 11:02:00,"W",17,27.866,-93.8863,46.63,20.86410683,,,,"MS",,"WLD",,"N",,,,,,,,,,,"MIN/MAX",,,,,,,,,,,,,,,,,0.1,0,0,,1,96,10,0,0,0,0,0,0,3,3,1,0,0,1,1,,0,0,0,0,0,0,1,1,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"289305037","798","PASC","SRFV","SEAMAP_REEF",,,,,1993,5,,1993-05-28 14:25:00,1993-05-28 15:35:00,"W",17,27.871,-93.8443,67,20.47999954,36.26599884,,,,,"WLD","NHL","N",,,,,,,,,,,"MIN/MAX",,,,,,,,,,,,,,,,,1,0,10,,0,0,10,0,0,0,0,70,0,5,75,1,0,1,0,0,,0,0,0,0,1,0,1,1,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"289305038","1754","PASC","SRFV","SEAMAP_REEF",,,,,1993,5,,1993-05-28 15:56:00,1993-05-28 16:59:00,"W",17,27.8517,-93.8333,68,20.44000053,36.27899933,,,"MS",,"WLD","NLL","N",,,,,,,,,,,"MIN/MAX",,,,,,,,,,,,,,,,,0.15,0,2,,15,50,9,0,0,0,0,0,0,23,23,1,0,1,1,1,,0,0,0,0,0,0,1,1,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"289305039","2086","PASC","SRFV","SEAMAP_REEF",,,,,1993,5,,1993-05-28 17:25:00,1993-05-28 18:31:00,"W",17,27.845,-93.8383,48,21.22999954,36.36500168,,,"MS",,"WLD","NLL","N",,,,,,,,,,,"MIN/MAX",,,,,,,,,,,,,,,,,1,0,10,,0,0,10,0,0,0,0,0,0,0,0,1,0,1,0,0,,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"289305041","1168","PASC","SRFV","SEAMAP_REEF",,,,,1993,5,,1993-05-29 09:14:00,1993-05-29 10:19:00,"W",17,27.9185,-93.4523,50.65,20.9792311,,,,,,"WLD","NLL","N",,,,,,,,,,,"MIN/MAX",,,,,,,,,,,,,,,,,2,0,10,,0,0,10,40,0,0,0,0,1,5,46,1,0,1,0,0,,1,0,0,0,0,1,1,1,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"289305045","1352","PASC","SRFV","SEAMAP_REEF",,,,,1993,5,,1993-05-29 15:10:00,1993-05-29 16:12:00,"W",17,27.9123,-93.4383,55,20.94000053,36.31700134,,,"MS",,"WLD","NHL","N",,,,,,,,,,,"MIN/MAX",,,,,,,,,,,,,,,,,2,0,10,,0,0,10,0,0,0,0,0,0,30,30,1,0,1,0,0,,0,0,0,0,0,0,1,1,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"289305046","1314","PASC","SRFV","SEAMAP_REEF",,,,,1993,5,,1993-05-29 16:42:00,1993-05-29 17:43:00,"W",17,27.9113,-93.4528,48,21.25,36.31499863,,,"OV",,"WLD","NHL","N",,,,,,,,,,,"MIN/MAX",,,,,,,,,,,,,,,,,0.15,0,6,,20,0,10,0,0,0,0,0,0,40,40,1,0,1,0,1,,0,0,0,0,0,0,1,1,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"289305048","1353","PASC","SRFV","SEAMAP_REEF",,,,,1993,5,,1993-05-30 08:45:00,1993-05-30 09:47:00,"W",17,27.8885,-93.3372,61.08,20.04581423,,6.099999905,,"TB",,"WLD","NHL","N",,,,,,,,,,,"MIN/MAX",,,,,,,,,,,,,,,,,1,0,4,,6,60,10,0,0,0,0,4,0,0,4,1,0,1,1,1,,0,0,0,0,1,0,0,1,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"289305049","805","PASC","SRFV","SEAMAP_REEF",,,,,1993,5,,1993-05-30 10:10:00,1993-05-30 11:15:00,"W",17,27.8995,-93.3143,65,20.40999985,36.31600189,6.099999905,,,,"WLD","NHL","N",,,,,,,,,,,"MIN/MAX",,,,,,,,,,,,,,,,,1,0,7,,10,10,10,0,0,0,0,0,0,10,10,1,0,1,1,1,,0,0,0,0,0,0,1,1,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"289305050","1773","PASC","SRFV","SEAMAP_REEF",,,,,1993,5,,1993-05-30 11:45:00,1993-05-30 12:53:00,"W",17,27.8832,-93.3038,81,19.44000053,36.27799988,6.099999905,,"OV",,"WLD","NLL","N",,,,,,,,,,,"MIN/MAX",,,,,,,,,,,,,,,,,0.4,0,2,,70,0,10,15,0,0,0,0,0,0,15,1,0,1,0,1,,1,0,0,0,0,0,0,1,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"289305051","1818","PASC","SRFV","SEAMAP_REEF",,,,,1993,5,,1993-05-30 13:14:00,1993-05-30 14:20:00,"W",17,27.8805,-93.2973,76,20.03000069,36.27000046,6.099999905,,"OV",,"WLD","NLL","N",,,,,,,,,,,"MIN/MAX",,,,,,,,,,,,,,,,,0.2,0,0,,73,0,10,7,0,0,0,0,0,20,27,1,0,0,0,1,,1,0,0,0,0,0,1,1,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"289305052","1981","PASC","SRFV","SEAMAP_REEF",,,,,1993,5,,1993-05-30 14:33:00,1993-05-30 15:38:00,"W",17,27.877,-93.2982,80,18.92000008,36.18199921,6.099999905,,"OF",,"WLD","NLL","N",,,,,,,,,,,"MIN/MAX",,,,,,,,,,,,,,,,,0.3,0,0,,15,0,10,75,0,0,0,0,0,10,85,1,0,0,0,1,,1,0,0,0,0,0,1,1,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"289305053","1551","PASC","SRFV","SEAMAP_REEF",,,,,1993,5,,1993-05-30 16:00:00,1993-05-30 17:01:00,"W",17,27.8865,-93.3152,30,25.89999962,36.36000061,6.099999905,,"OF",,"WLD","NHL","N",,,,,,,,,,,"MIN/MAX",,,,,,,,,,,,,,,,,0.05,0,3,,3,65,10,0,0,0,0,0,0,17,17,1,0,1,1,1,,0,0,0,0,0,0,1,1,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"289305054","1385","PASC","SRFV","SEAMAP_REEF",,,,,1993,5,,1993-05-30 17:25:00,1993-05-30 18:27:00,"W",17,27.8888,-93.3035,62,20.35000038,36.2859993,6.099999905,,"MS",,"WLD","NLL","N",,,,,,,,,,,"MIN/MAX",,,,,,,,,,,,,,,,,0.3,0,0,,66,0,10,0,0,0,0,0,2,32,34,1,0,0,0,1,,0,0,0,0,0,1,1,1,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"289305056","318","PASC","SRFV","SEAMAP_REEF",,,,,1993,5,,1993-05-31 08:47:00,1993-05-31 09:51:00,"W",17,27.8585,-93.0723,60.35,19.33587656,,,,"OF",,"WLD","NLL","N",,,,,,,,,,,"MIN/MAX",,,,,,,,,,,,,,,,,1,0,10,,0,0,10,0,0,0,10,10,0,20,40,1,0,1,0,0,,0,0,0,1,1,0,1,1,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"289305057","677","PASC","SRFV","SEAMAP_REEF",,,,,1993,5,,1993-05-31 10:23:00,1993-05-31 11:26:00,"W",17,27.8573,-93.0772,88,18.10000038,35.97000122,,,,,"WLD","NLL","N",,,,,,,,,,,"MIN/MAX",,,,,,,,,,,,,,,,,0.8,0,5,,2,26,9,1,0,0,0,7,0,58,66,1,0,1,1,1,,1,0,0,0,1,0,1,1,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"289305058","735","PASC","SRFV","SEAMAP_REEF",,,,,1993,5,,1993-05-31 11:51:00,1993-05-31 13:00:00,"W",17,27.8503,-93.0705,100,17.78000069,36.02000046,,,,,"WLD","NLL","N",,,,,,,,,,,"MIN/MAX",,,,,,,,,,,,,,,,,0.2,0,9,,5,0,10,0,0,0,8,0,1,6,15,1,0,1,0,1,,0,0,0,1,0,1,1,1,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"289305059","645","PASC","SRFV","SEAMAP_REEF",,,,,1993,5,,1993-05-31 13:18:00,1993-05-31 14:23:00,"W",17,27.8507,-93.0673,81,19.32999992,36.22399902,,,"OV",,"WLD","NLL","N",,,,,,,,,,,"MIN/MAX",,,,,,,,,,,,,,,,,3,0,10,,0,0,10,0,0,0,5,2,0,13,20,1,0,1,0,0,,0,0,0,1,1,0,1,1,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"289305060","567","PASC","SRFV","SEAMAP_REEF",,,,,1993,5,,1993-05-31 14:47:00,1993-05-31 15:49:00,"W",17,27.8527,-93.0657,81,19.63999939,36.22100067,,,"MS",,"WLD","NMS","N",,,,,,,,,,,"MIN/MAX",,,,,,,,,,,,,,,,,1,0,8,,5,0,10,3,0,0,10,0,2,65,80,1,0,1,0,1,,1,0,0,1,0,1,1,1,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"289305061","425","PASC","SRFV","SEAMAP_REEF",,,,,1993,5,,1993-05-31 16:12:00,1993-05-31 17:18:00,"W",17,27.8587,-93.0677,65,20.61000061,36.36800003,,,"MS",,"WLD","NLL","N",,,,,,,,,,,"MIN/MAX",,,,,,,,,,,,,,,,,0.6,0,9,,3,3,11,0,0,0,15,0,2,2,19,1,0,1,1,1,,0,0,0,1,0,1,1,1,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"289305069","1761","PASC","SRFV","SEAMAP_REEF",,,,,1993,6,,1993-06-06 16:31:00,1993-06-06 17:36:00,"E",10,30.0332,-87.9768,86.13,18.50999996,,,,"MS",,"NCN",,"N",,,,,,,,,,,"MIN/MAX",,,,,,,,,,,,,,,,,0.1,0,0,,5,85,10,0,0,0,0,0,0,10,10,1,0,0,1,1,,0,0,0,0,0,0,1,1,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"289305070","1764","PASC","SRFV","SEAMAP_REEF",,,,,1993,6,,1993-06-06 18:03:00,1993-06-06 19:06:00,"E",10,30.0333,-87.9738,110,17.77000046,36.16899872,,,"MS",,"NCN",,"N",,,,,,,,,,,"MIN/MAX",,,,,,,,,,,,,,,,,0.15,0,1,,40,20,10,10,0,0,0,0,0,27,37,1,0,1,1,1,,1,0,0,0,0,0,1,1,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"289305071","2577","PASC","SRFV","SEAMAP_REEF",,,,,1993,6,,1993-06-06 07:16:00,1993-06-06 08:25:00,"E",10,30.0317,-87.9618,80,18.25,36.01800156,,,"MS",,"NCN",,"N",,,,,,,,,,,"MIN/MAX",,,,,,,,,,,,,,,,,0.1,0,0,,4,76,10,0,0,0,0,0,0,20,20,1,0,0,1,1,,0,0,0,0,0,0,1,1,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"289305072","2855","PASC","SRFV","SEAMAP_REEF",,,,,1993,6,,1993-06-06 08:44:00,1993-06-06 09:55:00,"E",10,30.0265,-87.9563,70,19.80999947,36.05599976,,,"MS",,"NCN",,"N",,,,,,,,,,,"MIN/MAX",,,,,,,,,,,,,,,,,0.08,0,0,,10,86,10,1,0,0,0,0,0,3,4,1,0,0,1,1,,1,0,0,0,0,0,1,1,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"289305073","2989","PASC","SRFV","SEAMAP_REEF",,,,,1993,6,,1993-06-06 10:18:00,1993-06-06 11:23:00,"E",10,30.0243,-87.952,80,18.15999985,36.00799942,,,"MS",,"NCN",,"N",,,,,,,,,,,"MIN/MAX",,,,,,,,,,,,,,,,,0.2,0,0,,10,90,10,0,0,0,0,0,0,0,0,1,0,0,1,1,,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
