# 1: Detection or Track-id,  2: Video or Image Identifier,  3: Unique Frame Identifier,  4-7: Img-bbox(TL_x,TL_y,BR_x,BR_y),  8: Detection or Length Confidence,  9: Target Length (0 or -1 if invalid),  10-11+: Repeated Species, Confidence Pairs or Attributes,
# Written on: Wed Mar 18 10:53:36 2026   by: write_object_track_set_viame_csv,,,,,,,,,,,
19,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/right_view/ice_seals_2025_fl223_R_20250513_225314.138957_rgb.jpg,1211,11551.3,4669.45,11719.3,4822.66,1,0,animal,1,
20,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/right_view/ice_seals_2025_fl223_R_20250513_225423.077317_rgb.jpg,1274,9735.82,1289.98,9900.74,1452.98,1,0,animal,1,
21,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/right_view/ice_seals_2025_fl223_R_20250513_225424.170687_rgb.jpg,1275,10067.4,8672.81,10218,8851.81,1,0,animal_duplicate,1,
22,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/right_view/ice_seals_2025_fl223_R_20250513_225519.756026_rgb.jpg,1326,1055.23,8167.08,1244.86,8366.88,1,0,false_positive,1,
23,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/right_view/ice_seals_2025_fl223_R_20250513_225521.924098_rgb.jpg,1328,6093.79,3534.16,6258.4,3728.84,1,0,false_positive,1,
24,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/right_view/ice_seals_2025_fl223_R_20250513_225612.990992_rgb.jpg,1375,6142.17,2018.85,6327.6,2170.85,1,0,animal,1,
25,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/right_view/ice_seals_2025_fl223_R_20250513_225614.076458_rgb.jpg,1376,6382.28,9941.89,6583.24,10135.4,1,0,off_frame,1,(note) animal likely (same as previous detection)
26,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/right_view/ice_seals_2025_fl223_R_20250513_225634.628643_rgb.jpg,1395,6560.31,6927.93,6701.31,7101.78,1,0,animal,1,
27,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/right_view/ice_seals_2025_fl223_R_20250513_225636.780837_rgb.jpg,1397,4698.54,4054.39,4854.54,4201.02,1,0,animal,1,
28,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/right_view/ice_seals_2025_fl223_R_20250513_225747.614950_rgb.jpg,1463,7532.24,4616.07,7754.1,4842.39,1,0,false_positive,1,
29,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/right_view/ice_seals_2025_fl223_R_20250513_225748.683716_rgb.jpg,1464,1425.38,1333.5,1624.03,1600.34,1,0,false_positive,1,
30,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/right_view/ice_seals_2025_fl223_R_20250513_225748.683716_rgb.jpg,1464,10715.7,6914.99,10929.3,7135.62,1,0,false_positive,1,
31,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/right_view/ice_seals_2025_fl223_R_20250513_225908.595386_rgb.jpg,1537,3124.51,1392.91,3307.02,1546.91,1,0,animal,1,
32,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/right_view/ice_seals_2025_fl223_R_20250513_225909.712352_rgb.jpg,1538,3567.87,9728.21,3768.59,9922.9,1,0,off_frame,1,(note) animal likely (same as previous detection)
33,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/right_view/ice_seals_2025_fl223_R_20250513_230059.540608_rgb.jpg,1636,6070.59,1300.74,6237.3,1435.74,1,0,animal,1,
34,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/right_view/ice_seals_2025_fl223_R_20250513_230100.662072_rgb.jpg,1637,6450.53,9283.47,6633.83,9432.47,1,0,animal_duplicate,1,
35,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/right_view/ice_seals_2025_fl223_R_20250513_230127.436316_rgb.jpg,1661,8529.34,3466.3,8744.17,3643.65,1,0,false_positive,1,
36,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/right_view/ice_seals_2025_fl223_R_20250513_230226.380302_rgb.jpg,1714,7600.47,7341.56,7763.57,7485.56,1,0,animal,1,
37,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/right_view/ice_seals_2025_fl223_R_20250513_230226.380302_rgb.jpg,1714,4700.45,3353.02,4856.34,3492.02,1,0,animal,1,
38,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/right_view/ice_seals_2025_fl223_R_20250513_230250.941593_rgb.jpg,1736,11653.3,6974.63,11819.5,7191.94,1,0,animal,1,
39,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/right_view/ice_seals_2025_fl223_R_20250513_230334.433039_rgb.jpg,1775,8933.99,3732.08,9103.4,3881.4,1,0,animal,1,
40,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/right_view/ice_seals_2025_fl223_R_20250513_230416.950560_rgb.jpg,1813,8801.08,6188.2,8958.78,6307.58,1,0,animal,1,
41,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/right_view/ice_seals_2025_fl223_R_20250513_230428.204488_rgb.jpg,1823,1139.1,1822.27,1308.55,1997.27,1,0,animal,1,
42,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/right_view/ice_seals_2025_fl223_R_20250513_230429.330296_rgb.jpg,1824,1529.59,10468.6,1749.73,10577.2,1,0,off_frame,1,(note) animal likely
43,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/right_view/ice_seals_2025_fl223_R_20250513_230439.435659_rgb.jpg,1833,8183.65,4583.97,8329.68,4725.97,1,0,animal,1,
44,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/right_view/ice_seals_2025_fl223_R_20250513_230452.906565_rgb.jpg,1845,8767.28,1855.22,8951.9,2086.29,1,0,false_positive,1,
45,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/right_view/ice_seals_2025_fl223_R_20250513_230454.026732_rgb.jpg,1846,9024.81,9428.56,9210.12,9676.35,1,0,false_positive,1,
46,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/right_view/ice_seals_2025_fl223_R_20250513_230455.145996_rgb.jpg,1847,12047.9,6208.54,12272.9,6373.58,1,0,animal,1,
47,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/right_view/ice_seals_2025_fl223_R_20250513_230556.837235_rgb.jpg,1901,11824.8,1407.62,12091.8,1595.74,1,0,animal,1,
48,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/right_view/ice_seals_2025_fl223_R_20250513_230558.033703_rgb.jpg,1902,11505.6,9753.63,11766.7,9935.58,1,0,off_frame,1,(note) animal likely (same as previous detection)
49,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/right_view/ice_seals_2025_fl223_R_20250513_230601.623408_rgb.jpg,1905,2590.03,793.8,2805.9,939.976,1,0,animal,1,
50,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/right_view/ice_seals_2025_fl223_R_20250513_230602.815733_rgb.jpg,1906,950.995,9740.5,1067.91,9963.88,1,0,off_frame,1,(note) animal likely (same as previous detection)
51,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/right_view/ice_seals_2025_fl223_R_20250513_230659.191500_rgb.jpg,1955,2791.4,6675.44,2974.1,6925.44,1,0,animal,1,
52,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/right_view/ice_seals_2025_fl223_R_20250513_230700.316406_rgb.jpg,1956,1641.88,3110.5,1835.64,3296.17,1,0,false_positive,1,
53,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/right_view/ice_seals_2025_fl223_R_20250513_230752.938055_rgb.jpg,2003,1354.73,4521.93,1538.73,4706.91,1,0,animal,1,
54,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/right_view/ice_seals_2025_fl223_R_20250513_230800.769484_rgb.jpg,2010,8737.33,5210.06,8908.21,5405.83,1,0,false_positive,1,
55,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/right_view/ice_seals_2025_fl223_R_20250513_230810.844402_rgb.jpg,2019,2384.78,6333.01,2563.78,6496.76,1,0,animal,1,
56,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/right_view/ice_seals_2025_fl223_R_20250513_230823.181242_rgb.jpg,2030,10233,3713.34,10393,3856.17,1,0,animal,1,
57,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/right_view/ice_seals_2025_fl223_R_20250513_230904.742234_rgb.jpg,2067,1117.49,2561.2,1275.49,2751.88,1,0,animal,1,
58,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/right_view/ice_seals_2025_fl223_R_20250513_231037.761971_rgb.jpg,2149,1095.46,4572.52,1314.73,4994.24,1,0,false_positive,1,
59,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/right_view/ice_seals_2025_fl223_R_20250513_231244.010690_rgb.jpg,2260,10925.1,4324.08,11138.9,4492.45,1,0,animal,1,
60,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/right_view/ice_seals_2025_fl223_R_20250513_231244.010690_rgb.jpg,2260,11295.5,5605.52,11489.8,5800.52,1,0,animal,1,
61,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/right_view/ice_seals_2025_fl223_R_20250513_231249.705323_rgb.jpg,2265,11368.2,586.648,11592,769.547,1,0,false_positive,1,
62,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/right_view/ice_seals_2025_fl223_R_20250513_231250.845690_rgb.jpg,2266,11074.7,7782.12,11288,7953.02,1,0,false_positive,1,
63,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/right_view/ice_seals_2025_fl223_R_20250513_231338.842649_rgb.jpg,2308,11634.4,7216.97,11832.3,7375.37,1,0,animal,1,
64,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/right_view/ice_seals_2025_fl223_R_20250513_231338.842649_rgb.jpg,2308,13005.4,7869.97,13117.6,8120.35,1,0,off_frame,1,(note) animal likely
65,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/right_view/ice_seals_2025_fl223_R_20250513_231406.326740_rgb.jpg,2332,12135.2,3723.84,12299,3881.39,1,0,false_positive,1,
66,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/right_view/ice_seals_2025_fl223_R_20250513_231558.008507_rgb.jpg,2430,7316.65,6568.23,7537.87,6734.31,1,0,animal,1,
67,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/right_view/ice_seals_2025_fl223_R_20250513_231558.008507_rgb.jpg,2430,5997.82,6007.1,6199.26,6149.83,1,0,animal,1,
68,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/right_view/ice_seals_2025_fl223_R_20250513_231636.813251_rgb.jpg,2464,4752.55,3866.49,4916.65,4007.31,1,0,animal,1,
69,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/right_view/ice_seals_2025_fl223_R_20250513_231652.775310_rgb.jpg,2478,8010.84,7188.19,8141.74,7297.74,1,0,animal,1,
70,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/right_view/ice_seals_2025_fl223_R_20250513_231744.216305_rgb.jpg,2523,2026.52,7848.68,2187.01,8024.68,1,0,animal,1,
71,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/right_view/ice_seals_2025_fl223_R_20250513_231745.355371_rgb.jpg,2524,6381.46,6134.21,6511.46,6302.51,1,0,animal,1,
72,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/right_view/ice_seals_2025_fl223_R_20250513_231817.295628_rgb.jpg,2552,3201.33,8567.2,3375.17,8816.86,1,0,animal,1,
73,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/right_view/ice_seals_2025_fl223_R_20250513_231905.294608_rgb.jpg,2594,8387.67,7780.96,8557.92,8036.35,1,0,false_positive,1,
74,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/right_view/ice_seals_2025_fl223_R_20250513_232037.637814_rgb.jpg,2675,10714.2,5942.87,10912.4,6131.2,1,0,false_positive,1,
75,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/right_view/ice_seals_2025_fl223_R_20250513_232216.148283_rgb.jpg,2700,5535.33,1798.83,5731.25,2143.59,1,0,false_positive,1,
76,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/right_view/ice_seals_2025_fl223_R_20250513_232421.698942_rgb.jpg,2812,5400.39,2939.29,5546.83,3164.55,1,0,false_positive,1,
77,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/right_view/ice_seals_2025_fl223_R_20250513_232516.032438_rgb.jpg,2861,9229.76,632.489,9433.28,796.604,1,0,false_positive,1,
78,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/right_view/ice_seals_2025_fl223_R_20250513_232548.152412_rgb.jpg,2890,1023.46,5705.54,1182.65,5861.65,1,0,animal,1,
79,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/right_view/ice_seals_2025_fl223_R_20250513_232602.500502_rgb.jpg,2903,1006.91,835.061,1233.02,953.764,1,0,false_positive,1,
80,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/right_view/ice_seals_2025_fl223_R_20250513_232603.601509_rgb.jpg,2904,3328.71,4982.21,3448.8,5094.86,1,0,animal,1,
81,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/right_view/ice_seals_2025_fl223_R_20250513_232628.944444_rgb.jpg,2927,5608.49,1268.95,5815.45,1606.55,1,0,false_positive,1,
82,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/right_view/ice_seals_2025_fl223_R_20250513_232628.944444_rgb.jpg,2927,7923.86,3707.98,8121.75,3976.27,1,0,false_positive,1,
83,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/right_view/ice_seals_2025_fl223_R_20250513_232839.455794_rgb.jpg,3046,8569.14,1222.69,8729.74,1389.28,1,0,false_positive,1,
84,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/right_view/ice_seals_2025_fl223_R_20250513_232839.455794_rgb.jpg,3046,8712.6,1238.23,8858.53,1396.69,1,0,false_positive,1,
85,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/right_view/ice_seals_2025_fl223_R_20250513_232839.455794_rgb.jpg,3046,8850.9,1384.94,9001.99,1571.63,1,0,false_positive,1,
86,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/right_view/ice_seals_2025_fl223_R_20250513_232839.455794_rgb.jpg,3046,8592.68,1118.07,8758.9,1288.32,1,0,false_positive,1,
87,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/right_view/ice_seals_2025_fl223_R_20250513_232843.829518_rgb.jpg,3050,7998.2,5355.4,8228.24,5521.28,1,0,false_positive,1,
88,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/right_view/ice_seals_2025_fl223_R_20250513_233229.258433_rgb.jpg,3257,11517.6,926.05,11642.9,1025.18,1,0,animal,1,
89,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/right_view/ice_seals_2025_fl223_R_20250513_233230.335401_rgb.jpg,3258,11392.7,8033.75,11507.2,8121.56,1,0,animal_duplicate,1,
90,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/right_view/ice_seals_2025_fl223_R_20250513_233236.800924_rgb.jpg,3264,3640.96,5345.28,3796.18,5575.4,1,0,animal,1,
91,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/right_view/ice_seals_2025_fl223_R_20250513_233601.265769_rgb.jpg,3456,6014.94,7208.07,6132.24,7340.66,1,0,animal,1,
92,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/right_view/ice_seals_2025_fl223_R_20250513_233624.750330_rgb.jpg,3478,11362.4,614.005,11558.7,747.051,1,0,animal,1,
93,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/right_view/ice_seals_2025_fl223_R_20250513_233625.806838_rgb.jpg,3479,11568.9,7586.02,11771.1,7712.02,1,0,animal_duplicate,1,
94,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/right_view/ice_seals_2025_fl223_R_20250513_233631.090873_rgb.jpg,3484,9071.91,3067.68,9289.33,3300.51,1,0,false_positive,1,
95,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/right_view/ice_seals_2025_fl223_R_20250513_233648.083858_rgb.jpg,3500,6430.44,3272.63,6675.64,3480.66,1,0,false_positive,1,
96,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/right_view/ice_seals_2025_fl223_R_20250513_233648.083858_rgb.jpg,3500,6407,3245.4,6705.18,3508.39,1,0,false_positive,1,
97,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/right_view/ice_seals_2025_fl223_R_20250513_233847.129931_rgb.jpg,3612,3730.04,6966.14,3951.11,7153.42,1,0,false_positive,1,
98,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/right_view/ice_seals_2025_fl223_R_20250513_233904.122862_rgb.jpg,3628,12686.4,852.119,12932.5,1052.98,1,0,off_frame,1,(note) animal likely (same as next detection)
99,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/right_view/ice_seals_2025_fl223_R_20250513_233905.184645_rgb.jpg,3629,12602.8,7835.95,12801.8,7961.74,1,0,animal,1,
100,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/right_view/ice_seals_2025_fl223_R_20250513_234131.638036_rgb.jpg,3767,12330.5,3206.42,12451.5,3298.67,1,0,animal,1,
101,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/right_view/ice_seals_2025_fl223_R_20250513_234132.703299_rgb.jpg,3768,12021.7,8981.72,12115.7,9056.4,1,0,animal_duplicate,1,
102,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/right_view/ice_seals_2025_fl223_R_20250513_234233.936598_rgb.jpg,3827,2408.26,6498.79,2585.61,6648.79,1,0,animal,1,
103,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/right_view/ice_seals_2025_fl223_R_20250513_234449.301075_rgb.jpg,3957,2810.37,3363.76,3070.13,3603.86,1,0,false_positive,1,
104,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/right_view/ice_seals_2025_fl223_R_20250513_234449.301075_rgb.jpg,3957,2758.51,3324.26,3022.32,3530.85,1,0,false_positive,1,
105,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/right_view/ice_seals_2025_fl223_R_20250513_234449.301075_rgb.jpg,3957,2773.47,3421.15,3036.67,3634.04,1,0,false_positive,1,
106,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/right_view/ice_seals_2025_fl223_R_20250513_234451.424190_rgb.jpg,3959,8917.25,6274.22,9140.82,6641.02,1,0,false_positive,1,
