# 1: Detection or Track-id,2: Video or Image Identifier,3: Unique Frame Identifier,4-7: Img-bbox(TL_x,TL_y,BR_x,BR_y),8: Detection or Length Confidence,9: Target Length (0 or -1 if invalid),10-11+: Repeated Species,Confidence Pairs or Attributes,,,,
# metadata,fps: 1,"exported_by: ""dive:typescript""","exported_time: ""5/13/2026, 3:10:36 PM""",,,,,,,,,,,
12,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_224447.544914_rgb.jpg,819,3663,2267,3735,2325,1,-1,ringed_seal,1,(trk-atr) age_class nonpup,(trk-atr) age_class_confidence positive,(trk-atr) species_confidence positive,
13,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_224448.679919_rgb.jpg,820,3805,9783,3982,9960,1,-1,off_frame,1,,,,
14,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_224448.679919_rgb.jpg,820,3684,9792,3851,9972,1,-1,off_frame,1,,,,
15,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_224705.922632_rgb.jpg,941,10021,7967,10064,8057,1,-1,ringed_seal,1,(trk-atr) age_class nonpup,(trk-atr) age_class_confidence positive,(trk-atr) species_confidence positive,
16,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_224716.174115_rgb.jpg,950,4903,3332,4959,3422,1,-1,ringed_seal,1,(trk-atr) age_class nonpup,(trk-atr) age_class_confidence positive,(trk-atr) species_confidence positive,
17,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_225205.997903_rgb.jpg,1149,5662,7306,5743,7381,1,-1,ringed_seal,1,(trk-atr) age_class nonpup,(trk-atr) age_class_confidence positive,(trk-atr) species_confidence positive,
18,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_225240.017529_rgb.jpg,1180,965,2688,1040,2752,1,-1,ringed_seal,1,(trk-atr) age_class nonpup,(trk-atr) age_class_confidence positive,(trk-atr) species_confidence positive,
19,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_225240.017529_rgb.jpg,1180,1017,2535,1053,2626,1,-1,ringed_seal,1,(trk-atr) age_class nonpup,(trk-atr) age_class_confidence positive,(trk-atr) species_confidence positive,
20,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_225241.116934_rgb.jpg,1181,1168,9717,1349,9907,1,-1,off_frame,1,,,,
21,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_225417.617264_rgb.jpg,1269,4888,1329,5144,1530,1,-1,false_positive,1,,,,
22,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_225423.077317_rgb.jpg,1274,691,3467,912,3652,1,-1,false_positive,1,,,,
23,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_225708.942831_rgb.jpg,1427,9683,5547,9856,5725,1,-1,false_positive,1,,,,
24,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_225710.015677_rgb.jpg,1428,6664,1343,6849,1413,1,-1,bearded_seal,1,(trk-atr) age_class nonpup,(trk-atr) age_class_confidence positive,(trk-atr) species_confidence positive,
25,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_225711.088685_rgb.jpg,1429,6958,9365,7142,9437,1,-1,bearded_seal,1,(trk-atr) age_class nonpup,(trk-atr) age_class_confidence positive,(trk-atr) species_confidence positive,
26,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_225741.184947_rgb.jpg,1457,7152,945,7226,1063,1,-1,bearded_seal,1,(trk-atr) age_class nonpup,(trk-atr) age_class_confidence positive,(trk-atr) species_confidence positive,
27,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_225742.258897_rgb.jpg,1458,7447,9034,7515,9159,1,-1,bearded_seal,1,(trk-atr) age_class nonpup,(trk-atr) age_class_confidence positive,(trk-atr) species_confidence positive,
28,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_225913.061676_rgb.jpg,1541,2065,964,2127,1048,1,-1,ringed_seal,1,(trk-atr) age_class nonpup,(trk-atr) age_class_confidence positive,(trk-atr) species_confidence positive,
29,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_225914.177062_rgb.jpg,1542,2370,8332,2415,8433,1,-1,ringed_seal,1,(trk-atr) age_class nonpup,(trk-atr) age_class_confidence positive,(trk-atr) species_confidence positive,
30,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_225927.586724_rgb.jpg,1554,11484,4511,11565,4715,1,-1,bearded_seal,1,(trk-atr) age_class nonpup,(trk-atr) age_class_confidence positive,(trk-atr) species_confidence positive,
31,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_230005.619718_rgb.jpg,1588,1726,5592,1940,5747,1,-1,false_positive,1,,,,
32,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_230116.308309_rgb.jpg,1651,8732,5355,8803,5449,1,-1,ringed_seal,1,(trk-atr) age_class nonpup,(trk-atr) age_class_confidence positive,(trk-atr) species_confidence positive,
33,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_230127.436316_rgb.jpg,1661,9268,795,9471,1022,1,-1,false_positive,1,,,,
34,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_230212.997322_rgb.jpg,1702,3337,7565,3384,7647,1,-1,ringed_seal,1,(trk-atr) age_class nonpup,(trk-atr) age_class_confidence positive,(trk-atr) species_confidence positive,
35,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_230257.609395_rgb.jpg,1742,1159,8747,1371,8982,1,-1,false_positive,1,,,,
36,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_230322.152507_rgb.jpg,1764,3618,2844,3707,2891,1,-1,ringed_seal,1,(trk-atr) age_class nonpup,(trk-atr) age_class_confidence positive,(trk-atr) species_confidence positive,
37,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_230322.152507_rgb.jpg,1764,3602,2689,3661,2766,1,-1,ringed_seal,1,(trk-atr) age_class nonpup,(trk-atr) age_class_confidence positive,(trk-atr) species_confidence positive,
38,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_230323.269190_rgb.jpg,1765,3891,10191,4065,10372,1,-1,off_frame,1,,,,
39,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_230407.985865_rgb.jpg,1805,4254,3890,4325,3941,1,-1,ringed_seal,1,(trk-atr) age_class nonpup,(trk-atr) age_class_confidence positive,(trk-atr) species_confidence likely,
40,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_230439.435659_rgb.jpg,1833,6681,4929,6746,5013,1,-1,ringed_seal,1,(trk-atr) age_class nonpup,(trk-atr) age_class_confidence positive,(trk-atr) species_confidence positive,
41,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_230445.047157_rgb.jpg,1838,1878,3901,1949,3969,1,-1,ringed_seal,1,(trk-atr) age_class nonpup,(trk-atr) age_class_confidence positive,(trk-atr) species_confidence positive,
42,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_230445.047157_rgb.jpg,1838,1898,3732,1955,3810,1,-1,ringed_seal,1,(trk-atr) age_class nonpup,(trk-atr) age_class_confidence positive,(trk-atr) species_confidence positive,
43,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_230521.947000_rgb.jpg,1871,6699,5785,6748,5866,1,-1,ringed_seal,1,(trk-atr) age_class nonpup,(trk-atr) age_class_confidence positive,(trk-atr) species_confidence positive,
44,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_230521.947000_rgb.jpg,1871,6689,5987,6733,6047,1,-1,ringed_seal,1,(trk-atr) age_class nonpup,(trk-atr) age_class_confidence positive,(trk-atr) species_confidence positive,
45,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_230533.280311_rgb.jpg,1881,9695,7307,9732,7386,1,-1,ringed_seal,1,(trk-atr) age_class nonpup,(trk-atr) age_class_confidence positive,(trk-atr) species_confidence positive,
46,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_230534.435318_rgb.jpg,1882,10680,3316,10730,3404,1,-1,ringed_seal,1,(trk-atr) age_class nonpup,(trk-atr) age_class_confidence positive,(trk-atr) species_confidence positive,
47,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_230547.309299_rgb.jpg,1893,3984,6073,4022,6130,1,-1,ringed_seal,1,(trk-atr) age_class nonpup,(trk-atr) age_class_confidence positive,(trk-atr) species_confidence likely,
48,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_230624.998153_rgb.jpg,1925,8413,3926,8475,3993,1,-1,ringed_seal,1,(trk-atr) age_class nonpup,(trk-atr) age_class_confidence positive,(trk-atr) species_confidence positive,
49,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_230641.072308_rgb.jpg,1939,3443,5675,3511,5867,1,-1,bearded_seal,1,(trk-atr) age_class nonpup,(trk-atr) age_class_confidence positive,(trk-atr) species_confidence positive,
50,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_230650.145488_rgb.jpg,1947,5497,5554,5546,5657,1,-1,ringed_seal,1,(trk-atr) age_class nonpup,(trk-atr) age_class_confidence positive,(trk-atr) species_confidence likely,
51,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_230655.806741_rgb.jpg,1952,10398,5148,10484,5211,1,-1,ringed_seal,1,(trk-atr) age_class nonpup,(trk-atr) age_class_confidence positive,(trk-atr) species_confidence positive,
52,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_230711.571796_rgb.jpg,1966,6080,1471,6125,1571,1,-1,ringed_seal,1,(trk-atr) age_class nonpup,(trk-atr) age_class_confidence positive,(trk-atr) species_confidence positive,
53,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_230712.695544_rgb.jpg,1967,6014,9501,6056,9571,1,-1,ringed_seal,1,(trk-atr) age_class nonpup,(trk-atr) age_class_confidence positive,(trk-atr) species_confidence positive,
54,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_230714.939039_rgb.jpg,1969,10306,1050,10513,1425,1,-1,false_positive,1,,,,
55,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_231102.760024_rgb.jpg,2171,2032,5538,2076,5637,1,-1,ringed_seal,1,(trk-atr) age_class nonpup,(trk-atr) age_class_confidence positive,(trk-atr) species_confidence likely,
56,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_231141.418807_rgb.jpg,2205,12374,5898,12454,6002,1,-1,ringed_seal,1,(trk-atr) age_class nonpup,(trk-atr) age_class_confidence positive,(trk-atr) species_confidence positive,
57,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_231142.557590_rgb.jpg,2206,3783,2728,3856,2785,1,-1,ringed_seal,1,(trk-atr) age_class nonpup,(trk-atr) age_class_confidence positive,(trk-atr) species_confidence positive,
58,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_231142.557590_rgb.jpg,2206,3876,2644,3946,2705,1,-1,ringed_seal,1,(trk-atr) age_class nonpup,(trk-atr) age_class_confidence positive,(trk-atr) species_confidence positive,
59,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_231143.697076_rgb.jpg,2207,3657,10154,3871,10358,1,-1,off_frame,1,,,,
60,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_231143.697076_rgb.jpg,2207,3706,10127,3904,10339,1,-1,off_frame,1,,,,
61,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_231222.384255_rgb.jpg,2241,4723,4462,4902,4634,1,-1,false_positive,1,,,,
62,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_231223.521981_rgb.jpg,2242,8003,3137,8184,3304,1,-1,false_positive,1,,,,
63,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_231225.798156_rgb.jpg,2244,8733,9355,8808,9472,1,-1,bird,1,,,(trk-atr) species_confidence positive,
64,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_231317.097295_rgb.jpg,2289,8462,864,8555,901,1,-1,ringed_seal,1,(trk-atr) age_class nonpup,(trk-atr) age_class_confidence positive,(trk-atr) species_confidence positive,
65,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_231317.097295_rgb.jpg,2289,8068,1709,8119,1810,1,-1,ringed_seal,1,(trk-atr) age_class nonpup,(trk-atr) age_class_confidence positive,(trk-atr) species_confidence positive,
66,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_231318.244102_rgb.jpg,2290,8288,9093,8383,9137,1,-1,ringed_seal,1,(trk-atr) age_class nonpup,(trk-atr) age_class_confidence positive,(trk-atr) species_confidence positive,
67,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_231318.244102_rgb.jpg,2290,7851,9765,8028,9984,1,-1,off_frame,1,,,,
68,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_231724.807545_rgb.jpg,2506,5802,5765,5982,5938,1,-1,false_positive,1,,,,
69,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_231903.013789_rgb.jpg,2592,7795,4483,7939,4621,1,-1,false_positive,1,,,,
70,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_232308.952750_rgb.jpg,2746,1350,6897,1407,6988,1,-1,ringed_seal,1,(trk-atr) age_class nonpup,(trk-atr) age_class_confidence positive,(trk-atr) species_confidence positive,
71,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_232400.498429_rgb.jpg,2792,4698,4566,4751,4706,1,-1,bearded_seal,1,(trk-atr) age_class nonpup,(trk-atr) age_class_confidence likely,(trk-atr) species_confidence likely,
72,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_232402.727222_rgb.jpg,2794,5623,7182,5772,7407,1,-1,false_positive,1,,,,
73,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_232559.195462_rgb.jpg,2899,9532,6727,9641,6787,1,-1,ringed_seal,1,(trk-atr) age_class nonpup,(trk-atr) age_class_confidence positive,(trk-atr) species_confidence positive,
74,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_232634.455879_rgb.jpg,2931,2985,2217,3171,2425,1,-1,false_positive,1,,,,
75,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_232744.721014_rgb.jpg,2995,8715,4878,8834,5052,1,-1,bearded_seal,1,(trk-atr) age_class nonpup,(trk-atr) age_class_confidence positive,(trk-atr) species_confidence positive,
76,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_232851.496529_rgb.jpg,3056,2216,7343,2474,7589,1,-1,false_positive,1,,,,
77,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_233217.414782_rgb.jpg,3245,10265,1440,10466,1656,1,-1,false_positive,1,,,,
78,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_233217.414782_rgb.jpg,3245,10232,1414,10493,1683,1,-1,false_positive,1,,,,
79,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_233218.492147_rgb.jpg,3246,10209,9887,10431,10126,1,-1,false_positive,1,,,,
80,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_233218.492147_rgb.jpg,3246,10186,9867,10461,10147,1,-1,false_positive,1,,,,
81,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_233423.657581_rgb.jpg,3363,5792,1857,5863,2071,1,-1,bearded_seal,1,(trk-atr) age_class nonpup,(trk-atr) age_class_confidence positive,(trk-atr) species_confidence positive,
82,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_233424.720906_rgb.jpg,3364,5828,9767,6021,10060,1,-1,off_frame,1,,,,
83,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_233507.283971_rgb.jpg,3404,7414,3108,7486,3217,1,-1,ringed_seal,1,(trk-atr) age_class nonpup,(trk-atr) age_class_confidence positive,(trk-atr) species_confidence positive,
84,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_233537.953762_rgb.jpg,3433,11100,2182,11245,2327,1,-1,false_positive,1,,,,
85,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_233624.750330_rgb.jpg,3477,3833,2926,4071,3166,1,-1,false_positive,1,,,,
86,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_233647.019347_rgb.jpg,3498,2601,1111,2834,1360,1,-1,false_positive,1,,,,
87,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_233752.847439_rgb.jpg,3560,1387,5320,1476,5466,1,-1,polar_bear,1,(trk-atr) age_class noncub,(trk-atr) age_class_confidence positive,(trk-atr) species_confidence positive,
88,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_233754.979413_rgb.jpg,3562,5265,3691,5315,3775,1,-1,ringed_seal,1,(trk-atr) age_class nonpup,(trk-atr) age_class_confidence positive,(trk-atr) species_confidence positive,
